LocationID,borough,longitude,latitude
106,Brooklyn,-73.99018765149987,40.67325790149991
107,Manhattan,-73.98401569649994,40.73733742599988
108,Brooklyn,-73.98281648625473,40.58891662738279
109,Staten Island,-74.15076723149994,40.549091639415735
110,Staten Island,-74.12700560635957,40.543288545441314
111,Brooklyn,-73.9912179504999,40.65189438149992
112,Brooklyn,-73.94817837037638,40.72879174306715
113,Manhattan,-73.99496754899997,40.732225179999936
114,Manhattan,-73.99718279649989,40.72853284299991
115,Staten Island,-74.08732193799997,40.62012292699987
116,Manhattan,-73.94909801096932,40.82764361199991
117,Queens,-73.79020834890785,40.59609399003111
118,Staten Island,-74.13021274799993,40.58566061399991
119,Bronx,-73.92489468218349,40.8367738747174
120,Manhattan,-73.93120762703974,40.845989014499935
121,Queens,-73.80276245849997,40.72739851499991
